Seq,DateListed,年度,類別,項目別,勞動力人口_總計_人,勞動力人口_就業_人,勞動力人口_失業_人,男_小計_人,男_就業_人,男_失業_人,女_小計_人,女_就業_人,女_失業_人,樣本數_人,勞動力人口_總計_百分比,勞動力人口_就業_百分比,勞動力人口_失業_百分比,男_小計_百分比,男_就業_百分比,男_失業_百分比,女_小計_百分比,女_就業_百分比,女_失業_百分比
1,"20241122","103","總計","-","245668.36","235643.1","10025.25","135113.32","129603.87","5509.45","110555.04","106039.23","4515.81","31511.55","100","95.92","4.08","100","95.92","4.08","100","95.92","4.08"
2,"20241122","103","行政區域","台灣省","151372.96","145545.77","5827.19","87367.08","83971.67","3395.4","64005.88","61574.09","2431.79","19416.59","100","96.15","3.85","100","96.11","3.89","100","96.2","3.8"
3,"20241122","103","行政區域","山地鄉","63591.72","61268.52","2323.2","38700.12","37413.71","1286.42","24891.59","23854.81","1036.78","8157.04","100","96.35","3.65","100","96.68","3.32","100","95.83","4.17"
4,"20241122","103","行政區域","平地原住民鄉鎮市","61260.22","58796.52","2463.7","35840.96","34361","1479.97","25419.26","24435.53","983.73","7857.85","100","95.98","4.02","100","95.87","4.13","100","96.13","3.87"
5,"20241122","103","行政區域","非原住民鄉鎮市","26521.02","25480.72","1040.29","12825.99","12196.97","629.02","13695.02","13283.75","411.27","3401.7","100","96.08","3.92","100","95.1","4.9","100","97","3"
6,"20241122","103","行政區域","新北市","26201.34","25335.11","866.23","13242.62","12792.93","449.69","12958.72","12542.18","416.54","3360.77","100","96.69","3.31","100","96.6","3.4","100","96.79","3.21"
7,"20241122","103","行政區域","臺北市","7337.88","7044.41","293.47","3254.22","3137.04","117.19","4083.66","3907.37","176.29","941.22","100","96","4","100","96.4","3.6","100","95.68","4.32"
8,"20241122","103","行政區域","桃園市","27668.11","26538.48","1129.63","15128.4","14518.09","610.3","12539.71","12020.39","519.33","3548.88","100","95.92","4.08","100","95.97","4.03","100","95.86","4.14"
9,"20241122","103","行政區域","臺中市","15019.01","14158.4","860.62","7274.36","6827.74","446.62","7744.66","7330.66","414","1926.46","100","94.27","5.73","100","93.86","6.14","100","94.65","5.35"
10,"20241122","103","行政區域","臺南市","3332.89","3064","268.89","1280.21","1183.32","96.89","2052.68","1880.67","172","427.43","100","91.93","8.07","100","92.43","7.57","100","91.62","8.38"
11,"20241122","103","行政區域","高雄市","14736.16","13956.94","779.22","7566.42","7173.07","393.35","7169.74","6783.87","385.87","1890.19","100","94.71","5.29","100","94.8","5.2","100","94.62","5.38"
12,"20241122","103","統計區域","北部地區","83556.48","80614.39","2942.09","45168.82","43615.52","1553.3","38387.66","36998.87","1388.79","10717.63","100","96.48","3.52","100","96.56","3.44","100","96.38","3.62"
13,"20241122","103","統計區域","北部地區_山地鄉","14019.16","13565.03","454.13","9520.21","9246.99","273.22","4498.95","4318.04","180.91","1798.19","100","96.76","3.24","100","97.13","2.87","100","95.98","4.02"
14,"20241122","103","統計區域","北部地區_平地原住民鄉鎮市","328.95","323.19","5.76","212.78","207.02","5.76","116.17","116.17","0","42.2","100","98.25","1.75","100","97.29","2.71","100","100","0"
15,"20241122","103","統計區域","北部地區_非原住民鄉鎮市","69208.37","66726.17","2482.2","35435.83","34161.51","1274.32","33772.54","32564.66","1207.88","8877.24","100","96.41","3.59","100","96.4","3.6","100","96.42","3.58"
16,"20241122","103","統計區域","中部地區","36940.54","35077.41","1863.14","19183.42","18149.82","1033.6","17757.12","16927.58","829.54","4738.24","100","94.96","5.04","100","94.61","5.39","100","95.33","4.67"
17,"20241122","103","統計區域","中部地區_山地鄉","15220.8","14519.31","701.49","9053.73","8679.24","374.49","6167.08","5840.07","327.01","1952.27","100","95.39","4.61","100","95.86","4.14","100","94.7","5.3"
18,"20241122","103","統計區域","中部地區_平地原住民鄉鎮市","1373.88","1299.66","74.22","805.93","743.74","62.18","567.95","555.91","12.04","176.23","100","94.6","5.4","100","92.28","7.72","100","97.88","2.12"
19,"20241122","103","統計區域","中部地區_非原住民鄉鎮市","20345.86","19258.44","1087.42","9323.77","8726.84","596.93","11022.09","10531.6","490.49","2609.75","100","94.66","5.34","100","93.6","6.4","100","95.55","4.45"
20,"20241122","103","統計區域","南部地區","47703.02","45671.1","2031.92","24928.77","23910.33","1018.44","22774.25","21760.77","1013.48","6118.93","100","95.74","4.26","100","95.91","4.09","100","95.55","4.45"
21,"20241122","103","統計區域","南部地區_山地鄉","27007.69","26204.89","802.8","15312.27","14893.16","419.12","11695.42","11311.73","383.69","3464.25","100","97.03","2.97","100","97.26","2.74","100","96.72","3.28"
22,"20241122","103","統計區域","南部地區_平地原住民鄉鎮市","958.9","932.62","26.27","533.02","523.36","9.66","425.88","409.26","16.62","123.04","100","97.26","2.74","100","98.19","1.81","100","96.1","3.9"
23,"20241122","103","統計區域","南部地區_非原住民鄉鎮市","19736.43","18533.58","1202.85","9083.47","8493.81","589.67","10652.95","10039.78","613.18","2531.64","100","93.91","6.09","100","93.51","6.49","100","94.24","5.76"
24,"20241122","103","統計區域","東部地區","77468.32","74280.21","3188.11","45832.31","43928.2","1904.11","31636.01","30352.01","1283.99","9936.74","100","95.88","4.12","100","95.85","4.15","100","95.94","4.06"
25,"20241122","103","統計區域","東部地區_山地鄉","18784.28","17953.62","830.66","11494.15","10992.4","501.74","7290.14","6961.22","328.92","2409.39","100","95.58","4.42","100","95.63","4.37","100","95.49","4.51"
26,"20241122","103","統計區域","東部地區_平地原住民鄉鎮市","58598.5","56241.05","2357.44","34289.23","32886.87","1402.37","24309.26","23354.19","955.08","7516.38","100","95.98","4.02","100","95.91","4.09","100","96.07","3.93"
27,"20241122","103","統計區域","東部地區_非原住民鄉鎮市","85.54","85.54","0","48.93","48.93","0","36.61","36.61","0","10.97","100","100","0","100","100","0","100","100","0"
28,"20241122","103","縣市","新北市","26201.34","25335.11","866.23","13242.62","12792.93","449.69","12958.72","12542.18","416.54","3360.77","100","96.69","3.31","100","96.6","3.4","100","96.79","3.21"
29,"20241122","103","縣市","臺北市","7337.88","7044.41","293.47","3254.22","3137.04","117.19","4083.66","3907.37","176.29","941.22","100","96","4","100","96.4","3.6","100","95.68","4.32"
30,"20241122","103","縣市","桃園市","27668.11","26538.48","1129.63","15128.4","14518.09","610.3","12539.71","12020.39","519.33","3548.88","100","95.92","4.08","100","95.97","4.03","100","95.86","4.14"
